cohort,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardTrailRun,A0171,2,2.0000152556652,2.999716496106607,0.9997012404414072,0.11193518529773815,1606.1650517574612,129.8000000000004,16.40000000000032,0.15270936009252606,1.9372669833430094,0.03662398608734585,0.487869822485207,0.22440234626376898,0.31702970774071354,0.29748525890311994,climb,0.8646169396535622,1014.0,1267.6580406909134,253.65804069091337,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,3,2.999716496106607,3.9996150761341287,0.9998985800275215,-0.0250023164056044,1699.6054757835934,93.80000000000018,115.50000000000045,0.2137841585388082,1.6059694122183323,0.04061272560566098,0.4197127634931666,0.2403621072753113,0.5414320540044826,0.4447848464434185,mixed_climb_descent,0.23817570567135296,1439.0,1226.84382995632,-212.15617004368005,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,4,3.9996150761341287,5.000376841669038,1.000761765534909,0.02741325856727437,1643.7768350345627,66.89999999999986,40.19999999999982,0.27489134914459634,1.3708268211990482,0.038204971824224665,0.46752736881842205,0.18009048366352265,0.7817941612797938,0.5698668258037157,mixed_climb_descent,0.9551807329372117,883.0,938.5683882127572,55.56838821275721,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,5,5.000376841669038,6.000164833143342,0.999787991474304,0.008978195252509402,1654.0340695400434,48.0,39.399999999999864,0.3359951619877296,1.220780393662918,0.03864187244628614,0.4052228360957643,0.14194273339492836,0.9618846449433165,0.6022582115809698,flat,0.22231319080013232,905.0,963.8479760691685,58.84797606916845,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,6,6.000164833143342,7.00055196353277,1.000387130389428,-0.013377986487951894,1678.5959668707335,52.40000000000009,64.20000000000005,0.39708753215830067,1.1991556455330952,0.03969807754108956,0.36518434055492205,0.11478800218871911,1.1038273783382448,0.588106590089296,mixed_climb_descent,0.32924929553177046,877.0,998.1994281073876,121.19942810738758,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,7,7.00055196353277,7.999368471357647,0.998816507824877,0.014423122135498083,1669.6660264325214,26.399999999999864,4.999999999999773,0.45815022980766257,1.1032756883255777,0.03931244105192311,0.3196216216216216,0.07767126245409836,1.218615380526964,0.5504680798298638,flat,0.8476894918981528,740.0,916.5772121925668,176.57721219256678,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,8,7.999368471357647,8.999798395153803,1.0004299237961565,0.11027810630792273,1722.9922956267826,116.19999999999982,2.400000000000091,0.5192142345178995,1.809950282173725,0.04164301777969759,0.5010332625619249,0.21957314307077644,1.2962866429810622,0.4854680458957399,climb,1.0,942.0,1160.1165989782867,218.11659897828667,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,9,8.999798395153803,9.999687424316262,0.9998890291624587,-0.03242918413138449,1822.446978746512,79.70000000000005,112.80000000000041,0.5803109977950514,1.5019063198444789,0.046167374371778314,0.38925766283524904,0.20339234000358447,1.5158597860518386,0.5792167170290891,mixed_climb_descent,0.9952502440021666,1392.0,1244.3068617636534,-147.6931382363466,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,10,9.999687424316262,10.999890102597545,1.0002026782812834,-0.0471043709522836,1698.1753400056084,55.600000000000364,101.39999999999986,0.6414008201963955,1.2749678150863837,0.04055013709263944,0.4542101869761444,0.19970822868445803,1.719252126055423,0.6324866377021803,mixed_climb_descent,0.8629989030468281,1034.0,900.2233457840379,-133.77665421596214,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,11,10.999890102597545,12.000463185432473,1.0005730828349275,-0.025567358693021017,1678.3812793936936,41.59999999999968,63.399999999999864,0.7025115359983818,1.1117309025927167,0.03968878444289348,0.4642481350608559,0.17086240127576735,1.918960354739881,0.6682658542319495,mixed_climb_descent,0.4855457640049055,849.0,767.5886006080472,-81.41139939195284,decayed,decayedTrimpBefore,exponential
