cohort,stratifier,bin,activityCount,valueMin,valueMax,maeMin,medianAbsErrorMin,biasMin
selectedDateRaces,inRaceTrimp,"(6.525, 17.954]",6,6.62600868374025,17.954027404229628,26.565904850579187,13.050967629540992,-19.691765044677094
selectedDateRaces,durationMin,"(9.049000000000001, 100.356]",6,9.05,90.46666666666667,4.089015860997265,3.7875495661799388,-4.089015860997265
selectedDateRaces,durationMin,"(100.356, 180.861]",6,105.3,180.53333333333333,6.271830200349559,2.725046724235176,-5.857960741172628
selectedDateRaces,durationMin,"(180.861, 737.533]",6,181.51666666666668,737.5333333333333,26.371623762661,13.050967629540992,-18.553429039623527
selectedDateRaces,maxDecayedBefore,"(0.324, 1.026]",6,0.3245042362764614,0.8675654586152814,7.707632600715115,6.130898032556866,-7.293763141538183
selectedDateRaces,maxDecayedBefore,"(1.026, 1.271]",6,1.104915301098961,1.247648503192822,7.234383046240624,7.4374320690503435,-0.36024324033852767
selectedDateRaces,maxDecayedBefore,"(1.271, 1.937]",6,1.3177079412859998,1.9372884739712704,21.790454177052084,3.41500801516069,-20.846399259916712
top10HardTrailByHRR,meanSegmentHrr,"(0.74, 0.759]",4,0.7411244217559991,0.7589110690686917,6.857882589730095,8.311009765779241,2.2331626958765414
top10HardTrailByHRR,meanSegmentHrr,"(0.759, 0.795]",3,0.7649558915088149,0.7950687471117579,3.400209880058634,3.781853717345257,-1.8283003511384122
top10HardTrailByHRR,meanSegmentHrr,"(0.795, 0.883]",3,0.8119140114804959,0.8832659005877633,3.5038282558107894,1.5550452028073247,-2.4671314539392393
top10HardTrailByHRR,inRaceTrimp,"(1.6580000000000001, 2.307]",4,1.6593993488259278,2.3074956369443576,5.786578700388365,6.170914905519513,-5.009056098984702
top10HardTrailByHRR,inRaceTrimp,"(2.307, 4.645]",2,2.6216636084532445,3.536266494698541,1.3771638821558023,1.3771638821558023,0.9807004112245294
top10HardTrailByHRR,inRaceTrimp,"(4.645, 7.02]",4,4.644597425610534,7.019799966961049,5.560750550165896,5.879914465457068,3.5302947354407404
top10HardTrailByHRR,durationMin,"(46.282000000000004, 52.367]",4,46.28333333333333,52.36666666666667,3.573334621194406,2.6684494600762907,-2.795812019790744
top10HardTrailByHRR,durationMin,"(52.367, 133.883]",2,52.88333333333333,97.36666666666666,5.803652040543719,5.803652040543719,-3.4457877471633878
top10HardTrailByHRR,durationMin,"(133.883, 190.217]",4,133.88333333333333,190.21666666666667,5.560750550165896,5.879914465457068,3.5302947354407404
top10HardTrailByHRR,maxDecayedBefore,"(0.804, 1.106]",3,0.8048814731322507,0.8744674426465624,6.91007026883873,7.698917301463825,-1.777458734529513
top10HardTrailByHRR,maxDecayedBefore,"(1.106, 1.318]",4,1.1061024754209938,1.3177079412859998,5.485113356042502,6.310443861572041,-1.023562240995174
top10HardTrailByHRR,maxDecayedBefore,"(1.318, 1.912]",3,1.3790575895560389,1.912317289370256,1.824326845280815,1.5600710396547888,1.824326845280815
