cohort,stage,feature,coefficient,standardizedCoefficient,absStandardizedCoefficient
top10HardTrailByHRR,E4 REDI readiness,altitudePenalty,6.880799048421393,0.12212855466391564,0.12212855466391564
top10HardTrailByHRR,E4 REDI readiness,progress,0.20160303762940043,0.11604051629078424,0.11604051629078424
top10HardTrailByHRR,E4 REDI readiness,trimpRediSlow,-0.1744693875611967,-0.10925861565041,0.10925861565041
top10HardTrailByHRR,E4 REDI readiness,trimpRediBalance,-0.004561782618367116,-0.0013047419758679733,0.0013047419758679733
top10HardTrailByHRR,E4 REDI readiness,terrain_climb,0.7999022741546474,0.6875285658309275,0.6875285658309275
top10HardTrailByHRR,E4 REDI readiness,terrain_descent,0.8950032602557452,0.7366132676344302,0.7366132676344302
top10HardTrailByHRR,E4 REDI readiness,terrain_flat,0.7804740359552036,0.6808898225772153,0.6808898225772153
top10HardTrailByHRR,E4 REDI readiness,terrain_mixed_climb_descent,0.820133887539525,0.5473219814374503,0.5473219814374503
top10HardTrailByHRR,E4 REDI readiness,terrain_steep_climb,0.7462674115144172,0.30229073039925575,0.30229073039925575
top10HardTrailByHRR,E4 REDI readiness,terrain_steep_descent,1.0228568617420977,0.38489654386058364,0.38489654386058364
top10HardTrailByHRR,E5 HR effort,intercept,5.520121044537864,,
top10HardTrailByHRR,E5 HR effort,logDistanceKm,1.096088410410039,0.8010957411306711,0.8010957411306711
top10HardTrailByHRR,E5 HR effort,logGapFactor,0.7856046793641501,0.6094938060071015,0.6094938060071015
top10HardTrailByHRR,E5 HR effort,altitudePenalty,6.987788701584718,0.12402753349077565,0.12402753349077565
top10HardTrailByHRR,E5 HR effort,progress,0.2010515648682375,0.11572309456600206,0.11572309456600206
top10HardTrailByHRR,E5 HR effort,meanHrReserve,-0.7042484155651463,-0.08462433604042831,0.08462433604042831
top10HardTrailByHRR,E5 HR effort,ctl,-0.16000229539406038,-0.092223690219446,0.092223690219446
top10HardTrailByHRR,E5 HR effort,tsb,0.07618808846721446,0.025740334684944292,0.025740334684944292
top10HardTrailByHRR,E5 HR effort,terrain_climb,0.8721270608733429,0.749606904191232,0.749606904191232
top10HardTrailByHRR,E5 HR effort,terrain_descent,0.9633733439077955,0.7928838008981697,0.7928838008981697
top10HardTrailByHRR,E5 HR effort,terrain_flat,0.8434148935701676,0.735799771403201,0.735799771403201
top10HardTrailByHRR,E5 HR effort,terrain_mixed_climb_descent,0.8925786371290363,0.5956684825301275,0.5956684825301275
top10HardTrailByHRR,E5 HR effort,terrain_steep_climb,0.8303303341746681,0.3363421198856268,0.3363421198856268
top10HardTrailByHRR,E5 HR effort,terrain_steep_descent,1.118296774882851,0.42081016392631326,0.42081016392631326
top10HardTrailByHRR,E6 decayed acute TRIMP,intercept,5.571373431842783,,
top10HardTrailByHRR,E6 decayed acute TRIMP,logDistanceKm,1.0609417676830555,0.7754081911700845,0.7754081911700845
top10HardTrailByHRR,E6 decayed acute TRIMP,logGapFactor,0.8248047934068525,0.6399063370566069,0.6399063370566069
top10HardTrailByHRR,E6 decayed acute TRIMP,altitudePenalty,3.3989380782736385,0.06032837058174824,0.06032837058174824
top10HardTrailByHRR,E6 decayed acute TRIMP,meanHrReserve,-0.8171200216633582,-0.09818728416039375,0.09818728416039375
top10HardTrailByHRR,E6 decayed acute TRIMP,ctl,-0.13113068527125538,-0.07558238878346026,0.07558238878346026
top10HardTrailByHRR,E6 decayed acute TRIMP,tsb,0.07756884694158768,0.02620682736069549,0.02620682736069549
top10HardTrailByHRR,E6 decayed acute TRIMP,decayedTrimpBefore,0.18276930717681034,0.12116888174711546,0.12116888174711546
top10HardTrailByHRR,E6 decayed acute TRIMP,terrain_climb,0.8331997311095296,0.7161482529673353,0.7161482529673353
top10HardTrailByHRR,E6 decayed acute TRIMP,terrain_descent,0.9876952687895831,0.812901440339185,0.812901440339185
