cohort,stage,fitObjective,validation,alpha,fatigueCoef,fatigueModel,segmentR2,segmentMaeSec,segmentMapePct,segmentBiasSec,raceR2,raceMaeSec,raceMapePct,raceBiasSec,loadFactorCol,useHrrEffort,fatigueState,acuteTrimpCol,vmaFlatKmh,hrrReference,hrrMinFactor,hrrMaxFactor,minFatigueFactor,decayLambda,raceMaeMin,segmentMaeMin,selectedFatigueState,selectedFatigueModel
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.75,0.3,linear,0.21745536064900306,167.5055332722338,26.277127448923576,-115.27448496569927,0.7299364667368375,2835.383360795474,20.25823610641726,-2344.8165314731177,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,47.256389346591234,2.7917588878705635,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.75,0.4,linear,0.24397301183947429,168.553740342293,27.66253687631845,-62.337599766531554,0.7853575362101738,2654.566617479235,20.130999883432168,-1360.190466768598,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,44.24277695798725,2.8092290057048834,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.8,0.0,linear,-0.5164225569975716,266.32242729209696,43.08556400595684,-265.85494165807006,0.3226514746254071,5145.613025951216,38.14289586186877,-5145.613025951216,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,85.76021709918693,4.438707121534949,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.8,0.1,linear,-0.28574036727697183,236.44728417527747,37.78871606142335,-235.5865429592702,0.43619295816907744,4582.620810153537,33.24831333297753,-4582.620810153537,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,76.37701350255894,3.940788069587958,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.8,0.2,linear,-0.046807345335007966,200.93943584188668,31.694570663555233,-195.38275864183788,0.5645649401626569,3847.7463002612562,27.455292369476602,-3834.8304218492954,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,64.12910500435427,3.3489905973647778,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.8,0.3,linear,0.13952098568632132,177.09076501545618,27.684861715271047,-143.93392762427973,0.6838980373079504,3132.0166788370825,22.636336959843163,-2877.8821649227148,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,52.20027798061804,2.9515127502576033,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.8,0.4,linear,0.21692196918453532,171.1069009824586,27.527761154250978,-94.30559775006002,0.7545828208371663,2800.692417562265,20.96759375844187,-1954.7952292622272,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,46.67820695937108,2.8517816830409766,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.85,0.0,linear,-0.6587980133759685,284.1756654638355,46.352305996456806,-283.97086082541813,0.2599553515807065,5482.569122463889,41.78154904646471,-5482.569122463889,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,91.37615204106481,4.736261091063925,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.85,0.1,linear,-0.423445802133134,255.82983741198296,41.28800891499968,-255.48295616772413,0.3738756798603192,4952.69409583078,37.17488313692002,-4952.69409583078,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,82.54490159717966,4.26383062353305,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.85,0.2,linear,-0.17017954252156042,219.8392293665227,35.024276431902116,-217.6441003395525,0.5060298475573406,4249.86763169983,31.337023935364577,-4248.891377426787,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,70.83112719499717,3.6639871561087114,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.85,0.3,linear,0.04710303602585508,189.2206907782559,29.66995813762993,-169.2216711465566,0.6349165259879467,3413.2814386790715,25.03773400422092,-3348.2341944370637,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,56.888023977984524,3.1536781796375988,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.85,0.4,linear,0.1635834236840884,176.4250877285378,28.044574073070095,-122.51265479434979,0.7169956558684238,3036.6603589973893,22.733745730712734,-2479.4464902860173,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,50.61100598328982,2.9404181288089632,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.0,exponential,-0.17879822955782565,228.1934524989577,43.238302197622076,130.10729157110856,0.8271280038402624,3430.04191019035,45.7816542026603,2219.2845121115083,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,57.167365169839165,3.8032242083159615,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.1,exponential,-0.584084920784649,265.21713853046475,50.93277251075038,194.81487289534817,0.7240623700424635,4139.9017848333715,54.483581273450575,3422.845524742366,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,68.99836308055619,4.420285642174412,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.2,exponential,-1.2714690451194302,318.0632888244112,61.24739726044034,267.62335308378954,0.5170868532734547,5231.671590618205,65.21379402837641,4777.083256247374,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,87.19452651030342,5.301054813740186,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.3,exponential,-2.35898624439244,386.6278578870386,74.28414189657808,349.69894078569905,0.16025648135112336,6530.938943181867,77.37502449371077,6303.689187502892,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,108.84898238636445,6.443797631450644,,
