cohort,stage,r2,maeMin,mapePct,biasMin,validation,fitObjective,fatigueState,acuteTrimpCol,fatigueModel,alpha,fatigueCoef
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9736479002423017,24.33815048105705,22.143760265906177,19.86724811346976,in_sample,activity,cumulative,cumTrimpBefore,linear,0.55,0.0
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9451615919551773,31.94223723750163,23.318350082777854,23.71412149886002,loo,activity,cumulative,cumTrimpBefore,linear,0.55,0.0
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9837819490138132,10.721967456260643,5.254549766386109,5.51912446878697,in_sample,activity,cumulative,cumTrimpBefore,exponential,0.85,0.1
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9837819490138132,10.721967456260638,5.254549766386105,5.519124468786971,loo,activity,cumulative,cumTrimpBefore,exponential,0.85,0.1
selectedDateRaces,Stage 3 HRR speed ratio linear progress linear,0.977051219347264,21.917564723317028,18.42620095215881,12.465757874892741,in_sample,activity,progress,progress,linear,0.6,0.1
selectedDateRaces,Stage 3 HRR speed ratio linear progress linear LOO,0.9654421620852421,24.97511316962277,18.914974028817422,9.40820942858699,loo,activity,progress,progress,linear,0.6,0.1
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear,0.9893438930888796,8.05822886185177,3.861455226136887,-2.7811217184291146,in_sample,segment,decayed,decayedTrimpBefore,linear,0.8,0.2
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9802734920700257,9.629224285371617,4.1463396986221275,-4.3521171419489555,loo,segment,decayed,decayedTrimpBefore,linear,0.8,0.2
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9902260413664687,10.7738519892656,6.8991382829007755,1.974221751441763,in_sample,segment,decayed,decayedTrimpBefore,exponential,0.75,0.2
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9812963347774905,12.707340686228134,7.240823407566202,1.5737806405289396,loo,segment,decayed,decayedTrimpBefore,exponential,0.75,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9726379997582386,20.253157362506222,14.490893442776468,3.106860153396688,in_sample,segment,cumulative,cumTrimpBefore,linear,0.6,0.0
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9427838006000868,25.014647390619555,15.247262381892124,-1.6546298747166464,loo,segment,cumulative,cumTrimpBefore,linear,0.6,0.0
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9726379997582386,20.253157362506222,14.490893442776468,3.106860153396688,in_sample,segment,cumulative,cumTrimpBefore,exponential,0.6,0.0
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9544973364169004,23.31229979141298,15.005543203663246,9.5829043034373,loo,segment,cumulative,cumTrimpBefore,exponential,0.6,0.0
selectedDateRaces,Stage 3 HRR speed ratio linear progress linear,0.9588606419245783,19.798456382319532,11.172858092822196,-5.957764383339524,in_sample,segment,progress,progress,linear,0.7,0.2
selectedDateRaces,Stage 3 HRR speed ratio linear progress linear LOO,0.9546510973093488,22.234809090147543,12.890392978102078,-3.5214116755114997,loo,segment,progress,progress,linear,0.7,0.2
