cohort,fitObjective,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardRunOrTrailRun,activity,A0067,1,1.0005443232717286,1.9991992468438091,0.9986549235720805,0.04598531809602241,383.77449700599504,108.29999999999995,63.89999999999998,0.3579884100580812,1.693063916295403,0.003262145248254855,0.807276688453159,0.4138045526533834,0.19922572649535022,0.19922572649535022,mixed_climb_descent,1.0,612.0,503.4155728617956,-108.58442713820438,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0067,2,1.9991992468438091,3.0014766618267132,1.0022774149829041,-0.1326890630512544,279.1965156647766,0.0,133.99999999999997,0.5967790165783271,0.6241748054082592,0.002031601151820106,0.7302093397745573,0.2183770026199104,0.6130302791487336,0.5769167817394295,descent,1.0,414.0,223.232483396978,-190.767516603022,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0067,3,3.0014766618267132,3.9996290565631094,0.9981523947363962,-0.007446969912119397,216.9167683795231,0.5999999999999943,10.0,0.8355096514727691,0.9624201589116324,0.001420354988731165,0.7386586586586587,0.18058955521503817,0.831407281768644,0.6907165137967592,flat,1.0,333.0,347.6021805948505,14.602180594850495,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0067,4,3.9996290565631094,4.189721630413747,0.19009257385063716,0.0,215.06072539138447,0.19999999999998863,0.0,0.9773144148204583,1.0,0.0014035315614081556,0.7379104477611941,0.03624592367962505,1.0119968369836823,0.746100406719257,flat,0.14746292094987581,67.0,69.74879777939263,2.748797779392632,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,0,0.0,0.9988896622047124,0.9988896622047123,-0.009784004786891799,70.41098809464978,6.900000000000006,16.400000000000006,0.08208349142330637,0.9592608526747768,0.00034035323701986364,0.6169213732004429,0.10791724203945348,0.0,0.0,flat,0.3548677252344748,301.0,352.6651282317218,51.66512823172178,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,1,0.9988896622047124,1.9990493297871488,1.0001596675824365,0.02151345711128915,62.88025907999026,40.800000000000004,18.300000000000004,0.246354836622914,1.1746765175099134,0.00029841078459980075,0.7614673913043479,0.21494269380486336,0.10791724203945348,0.10791724203945348,flat,0.2690625877360709,368.0,358.0406997937935,-9.959300206206478,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,2,1.9990493297871488,2.9989646259582616,0.9999152961711129,-0.02277159772415375,77.07435701173038,0.8999999999999915,27.39999999999999,0.4107104630200051,0.8938783660468022,0.0003785715127696543,0.6952320675105484,0.1483919755340955,0.3228599358443168,0.303297858649924,flat,0.5238024868312823,316.0,310.773177065001,-5.2268229349990065,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,3,2.9989646259582616,3.9991581312272473,1.0001935052689856,0.00444929343053797,57.82073726223453,16.000000000000007,10.300000000000004,0.5750688700199583,1.0349798235121557,0.00027097703701495224,0.7045187436676799,0.15937699733806246,0.4712519113784123,0.39671125975348703,flat,0.5934405198589677,329.0,362.35403813967577,33.354038139675765,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,4,3.9991581312272473,4.999212001600698,1.000053870373451,-0.0034090102762729104,61.388777159664194,8.400000000000006,12.600000000000009,0.7394386643180081,0.9910951155943177,0.00029026140535581835,0.7395808383233534,0.18167939477095463,0.6306289087164748,0.4841767057905497,flat,1.0,334.0,336.90113867076303,2.9011386707630322,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,5,4.999212001600698,6.001628738391966,1.0024167367912682,0.005918451333104994,62.18708579030048,9.399999999999991,3.799999999999997,0.9039911520730995,1.0359951524229771,0.00029461684759635176,0.7523972602739726,0.16561151441510014,0.8123083034874294,0.5780897537256678,flat,0.18010513130114178,292.0,354.3538323095557,62.353832309555685,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0070,6,6.001628738391966,6.08459536067622,0.08296662228425333,-0.0008980096478573043,66.43483874844699,0.0,1.1999999999999886,0.9931822399546523,0.9955901766758255,0.00031804268063584384,0.8323809523809524,0.015363704095661455,0.9779198179025296,0.6389113738295813,flat,0.11348907968267503,21.0,25.83243666998769,4.83243666998769,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0071,0,0.0,1.0011060630316924,1.0011060630316924,-0.0016652083630960325,74.69925995015771,6.6000000000000085,6.6000000000000085,0.08282916950378949,0.9958439701454609,0.00036482979181429176,0.5968756218905472,0.11181707218025216,0.0,0.0,flat,0.32682181020370676,335.0,382.7692268166908,47.769226816690775,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0071,1,1.0011060630316924,1.9994405581438448,0.9983344951121524,0.0012569069599542443,74.91292427312368,8.299999999999983,8.499999999999972,0.2482581954770396,1.0138055900527418,0.0003660605971460562,0.7660215053763441,0.1837484320470929,0.11181707218025216,0.11181707218025216,flat,1.0,310.0,309.71508064572924,-0.2849193542707553,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0071,2,1.9994405581438448,2.9989682059415403,0.9995276477976955,-0.015959739754835976,62.99370569753737,6.699999999999996,22.800000000000004,0.4135566270729385,0.9310211639553179,0.000299032781249986,0.7816239316239316,0.19443902708277494,0.29556550422734507,0.2752965077602058,flat,0.34483559836848277,312.0,288.7173244670227,-23.282675532977294,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0071,3,2.9989682059415403,3.99990506289309,1.0009368569515495,0.018063004414088722,69.22792071993,20.60000000000001,0.8000000000000114,0.5790703719886399,1.1058182621625292,0.0003336762706711571,0.8299104477611939,0.24320389489571217,0.49000453131012,0.4198327442010267,flat,0.6485187558768828,335.0,333.64437402778185,-1.3556259722181494,decayed,decayedTrimpBefore,linear
