cohort,fitObjective,terrainFamily,terrainLabel,segmentCount,activityCount,distanceKm,actualMin,predictedMin,r2,maeMin,rmseMin,mapePct,biasMin,residualStdMin
hardTrailRun,segment,climb,Ascent,189,39,188.1838223401047,2116.516666666667,2318.878977490184,0.6872654756009129,1.5680106083847245,2.115046279603963,15.053330369893441,1.070700057267286,1.8240126513361676
hardTrailRun,segment,steep_climb,Steep ascent,61,22,60.208185321644294,1013.2166666666667,1148.9908833610652,0.2336660428467967,2.4974381040984213,3.6143276961315274,14.968326731260136,2.225806831055722,2.847656693818467
selectedDateRaces,activity,steep_descent,Steep descent,23,6,22.337479962203652,184.68333333333334,108.43354906518084,-1.0936020143725997,3.315208011658804,3.7233159821643387,40.583797443182576,-3.315208011658804,1.6948385594131592
selectedDateRaces,activity,descent,Descent,82,14,80.98668891672475,538.7666666666667,410.40897378131467,0.25490329270846923,1.5829163831052504,2.1248513784807583,20.993364090692733,-1.5653377181140482,1.4369102995250205
selectedDateRaces,activity,flat,Flat,144,15,138.08140031659875,884.6333333333333,928.168181577247,0.7770389974425072,0.7052409331917783,0.9940466218843451,12.097315201828627,0.30232533502717845,0.9469572737354005
selectedDateRaces,activity,mixed_climb_descent,Mixed climb/descent,68,13,68.00376580070616,564.15,529.9245106844469,0.754909410331241,1.0955676648158208,1.6504870514901016,11.386815448606665,-0.5033160193463704,1.571871652459517
selectedDateRaces,activity,climb,Ascent,81,14,81.00609264770571,794.9833333333333,857.5205275395704,0.7372224934492357,1.2171702405746687,1.6572631866474132,13.269547300317896,0.7720641260029242,1.4664372660144995
selectedDateRaces,activity,steep_climb,Steep ascent,24,7,23.20947317283095,381.2,416.77017765049214,0.6000434364708285,1.8317147689367799,2.732449767556334,12.437755833683148,1.482090735437175,2.2955802717722498
selectedDateRaces,segment,steep_descent,Steep descent,23,6,22.337479962203652,184.68333333333334,108.43354906518084,-1.0936020143725997,3.315208011658804,3.7233159821643387,40.583797443182576,-3.315208011658804,1.6948385594131592
selectedDateRaces,segment,descent,Descent,82,14,80.98668891672475,538.7666666666667,410.40897378131467,0.25490329270846923,1.5829163831052504,2.1248513784807583,20.993364090692733,-1.5653377181140482,1.4369102995250205
selectedDateRaces,segment,flat,Flat,144,15,138.08140031659875,884.6333333333333,928.168181577247,0.7770389974425072,0.7052409331917783,0.9940466218843451,12.097315201828627,0.30232533502717845,0.9469572737354005
selectedDateRaces,segment,mixed_climb_descent,Mixed climb/descent,68,13,68.00376580070616,564.15,529.9245106844469,0.754909410331241,1.0955676648158208,1.6504870514901016,11.386815448606665,-0.5033160193463704,1.571871652459517
selectedDateRaces,segment,climb,Ascent,81,14,81.00609264770571,794.9833333333333,857.5205275395704,0.7372224934492357,1.2171702405746687,1.6572631866474132,13.269547300317896,0.7720641260029242,1.4664372660144995
selectedDateRaces,segment,steep_climb,Steep ascent,24,7,23.20947317283095,381.2,416.77017765049214,0.6000434364708285,1.8317147689367799,2.732449767556334,12.437755833683148,1.482090735437175,2.2955802717722498
top10HardTrailByHRR,activity,steep_descent,Steep descent,6,4,6.001636765447831,38.21666666666667,24.237667772989674,-13.67616253122415,2.329833148946165,2.5278711452146863,35.46504504078307,-2.329833148946165,0.98082109728564
top10HardTrailByHRR,activity,descent,Descent,36,9,34.76211878167898,190.0,157.42650862907777,0.37151864993907857,0.9115890962320193,1.0718172124448242,17.43322775400065,-0.9048192047478394,0.5745383743602172
top10HardTrailByHRR,activity,flat,Flat,43,6,39.76368325903024,222.16666666666666,231.5152984869142,0.8405449286402147,0.463676766986243,0.6196144580776475,10.392408613405582,0.2174100423313377,0.5802197429873812
top10HardTrailByHRR,activity,mixed_climb_descent,Mixed climb/descent,21,8,21.004737517602816,134.63333333333333,130.05357298138696,0.4247580207675733,0.5713132524420164,0.7240310475589111,8.716703818532752,-0.2180838262831599,0.6904059693708846
top10HardTrailByHRR,activity,climb,Ascent,41,8,41.001518053011495,344.6666666666667,358.8985811578562,0.6024690819110808,0.7895613864765988,1.044826978150933,10.183968653619889,0.3471198656387696,0.9854801941951614
top10HardTrailByHRR,activity,steep_climb,Steep ascent,7,4,6.207689330033472,102.98333333333333,103.054476029025,0.9708562132188201,0.9646490224348605,0.9968766961862562,8.221691255342124,0.010163242241665265,0.9968248872827978
top10HardTrailByHRR,segment,steep_descent,Steep descent,6,4,6.001636765447831,38.21666666666667,24.237667772989674,-13.67616253122415,2.329833148946165,2.5278711452146863,35.46504504078307,-2.329833148946165,0.98082109728564
top10HardTrailByHRR,segment,descent,Descent,36,9,34.76211878167898,190.0,157.42650862907777,0.37151864993907857,0.9115890962320193,1.0718172124448242,17.43322775400065,-0.9048192047478394,0.5745383743602172
top10HardTrailByHRR,segment,flat,Flat,43,6,39.76368325903024,222.16666666666666,231.5152984869142,0.8405449286402147,0.463676766986243,0.6196144580776475,10.392408613405582,0.2174100423313377,0.5802197429873812
top10HardTrailByHRR,segment,mixed_climb_descent,Mixed climb/descent,21,8,21.004737517602816,134.63333333333333,130.05357298138696,0.4247580207675733,0.5713132524420164,0.7240310475589111,8.716703818532752,-0.2180838262831599,0.6904059693708846
top10HardTrailByHRR,segment,climb,Ascent,41,8,41.001518053011495,344.6666666666667,358.8985811578562,0.6024690819110808,0.7895613864765988,1.044826978150933,10.183968653619889,0.3471198656387696,0.9854801941951614
top10HardTrailByHRR,segment,steep_climb,Steep ascent,7,4,6.207689330033472,102.98333333333333,103.054476029025,0.9708562132188201,0.9646490224348605,0.9968766961862562,8.221691255342124,0.010163242241665265,0.9968248872827978
