activityId,athleteId,startDate,sportType,category,source,distanceKm,timeSec,ascentM,distanceEqKm,trimp,avgHr,hrSpeedShift,hrZone_z1_upper,hrZone_z2_upper,hrZone_z3_upper,hrZone_z4_upper,hrZone_gmm_sample_count,hrZone_gmm_fit_date,hrZone_zone_count
11524625801,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-29,TableTennis,OTHER,strava,0.9637,7184.0,0.0,0.9637,0.6166709583319514,97.2,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11531867370,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-30,Run,RUN,strava,7.9253,2683.0,26.0,8.1853,0.892722060883018,144.4,-42.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11539494778,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-31,Swim,OTHER,strava,0.95,1331.0,0.0,0.95,0.4503521088106555,145.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11562663514,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-03,Run,RUN,strava,9.8917,3229.0,21.0,10.1017,1.589535486187425,161.4,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11570064360,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-04,Run,RUN,strava,1.1990999999999998,466.0,3.0,1.2291,0.1211643344593634,134.4,-41.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11570411417,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-04,WeightTraining,OTHER,strava,0.0,2536.0,0.0,0.0,0.629757295901834,132.6,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11570474652,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-04,Run,RUN,strava,0.6628,175.0,0.0,0.6628,0.0493145619791002,137.6,16.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11587123521,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-06,Run,RUN,strava,6.7052,1887.0,14.0,6.845199999999999,1.182428480305831,172.5,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11595133846,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-07,Soccer,OTHER,strava,6.2014,4255.0,0.0,6.2014,1.9195702222730056,157.5,-16.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11604265977,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-08,Ride,RIDE,strava,62.8764,13629.0,1799.0,54.84292000000001,4.644612290557624,145.4,2.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
