hrr,heartRateBpm,predictedTimeSec,predictedTimeMin,predictedTimeHours,distanceKm,avgSpeedKmh,paceMinPerKm,maxSustainableSec,maxSustainableHours,sustainabilityMarginMin,feasible
0.69,158.5,14046.265550563345,234.1044258427224,3.90174043071204,30.06013264107194,7.704288169571081,7.787870686999546,42256.0,11.737777777777778,470.1622408239443,True
0.7,160.0,13853.91443803324,230.89857396722067,3.8483095661203444,30.06013264107194,7.81125637753122,7.681222725269613,13634.0,3.7872222222222223,-3.6652406338873336,False
0.71,161.5,13667.161642151967,227.78602736919945,3.7964337894866573,30.06013264107194,7.9179920704310724,7.577678717823403,13634.0,3.7872222222222223,-0.5526940358661098,False
0.72,163.0,13485.778262813796,224.76297104689658,3.7460495174482764,30.06013264107194,8.02448886515206,7.477111752321315,13634.0,3.7872222222222223,2.470362286436739,True
0.73,164.5,13309.548068455631,221.82580114092718,3.6970966856821197,30.06013264107194,8.130740198785416,7.379401940423936,13634.0,3.7872222222222223,5.407532192406142,True
0.74,166.0,13138.266644617279,218.97111074362132,3.6495185123936884,30.06013264107194,8.236739323006134,7.284435945716201,13634.0,3.7872222222222223,8.26222258971202,True
0.75,167.5,12971.740610821385,216.1956768470231,3.6032612807837183,30.06013264107194,8.342479298235567,7.192106549511006,11532.0,3.203333333333333,-23.99567684702309,False
0.76,169.0,12809.786899491539,213.496448324859,3.5582741387476498,30.06013264107194,8.447952987582834,7.102312251049526,11532.0,3.203333333333333,-21.296448324858982,False
0.77,170.5,12652.232091280515,210.87053485467524,3.514508914244588,30.06013264107194,8.55315305055446,7.014956898977796,11532.0,3.203333333333333,-18.670534854675257,False
0.78,172.0,12498.911801758539,208.31519669597566,3.4719199449329277,30.06013264107194,8.65807193652118,6.929949351299574,11532.0,3.203333333333333,-16.115196695975648,False
0.79,173.5,12349.670114923678,205.82783524872795,3.430463920812133,30.06013264107194,8.762701877930104,6.847203161289449,11532.0,3.203333333333333,-13.627835248727964,False
0.8,175.0,12204.3590594512,203.40598432418668,3.3900997387364447,30.06013264107194,8.867034883249756,6.766636287102332,8181.0,2.2725,-67.05598432418668,False
0.81,176.5,12062.83812400282,201.04730206671366,3.350788367778561,30.06013264107194,8.971062729634761,6.688170823039466,8181.0,2.2725,-64.69730206671366,False
0.82,178.0,11924.973808276669,198.7495634712778,3.312492724521297,30.06013264107194,9.074776955296125,6.611732750630685,8181.0,2.2725,-62.399563471277816,False
0.83,179.5,11790.639206800004,196.51065344666674,3.2751775574444455,30.06013264107194,9.178168851562129,6.537251707870681,8181.0,2.2725,-60.160653446666736,False
0.84,181.0,11659.713622752897,194.32856037921496,3.2388093396535824,30.06013264107194,9.28122945461406,6.464660775105789,8181.0,2.2725,-57.978560379214954,False
0.85,182.5,11532.082209368027,192.20137015613378,3.2033561692688965,30.06013264107194,9.38394953687981,6.393896276210174,3140.0,0.8722222222222222,-139.86803682280046,False
0.86,184.0,11407.6356366809,190.12726061134833,3.1687876768558056,30.06013264107194,9.486319598067478,6.3248975938174175,3140.0,0.8722222222222222,-137.793927278015,False
0.87,185.5,11286.269781611189,188.1044963601865,3.1350749393364414,30.06013264107194,9.588329855819765,6.257606997487909,3140.0,0.8722222222222222,-135.77116302685315,False
0.88,187.0,11167.885439540632,186.13142399234388,3.102190399872398,30.06013264107194,9.689970235968882,6.191969483794881,3140.0,0.8722222222222222,-133.79809065901054,False
