segmentIndex,startKm,endKm,distanceKm,actualTimeSec,elevGainM,elevLossM,netElevM,meanAltitudeM,avgGrade,netGrade,technicalityGps,meanHr,meanHrReserve,meanSpeedKmh,meanSpeedEqKmh,progress,activityId
21,20.97662437260017,21.999497411606107,1.0228730390059368,,0.0,17.014999999999986,-17.014999999999986,279.1931816464243,-0.014810276717565792,-0.016634518020472756,0.6120448488256508,,,,,0.7148358641220179,route
22,21.999497411606107,22.994177847700065,0.9946804360939581,,0.0,18.170000000000016,-18.170000000000016,259.8391008482065,-0.01828161048416478,-0.018267173396264193,0.9529798658076745,,,,,0.748394489747363,route
23,22.994177847700065,23.98374473745561,0.9895668897555439,,12.045000000000016,41.375,-29.329999999999984,222.2961766035264,-0.02749165192825925,-0.02963922934734152,0.6915808296470837,,,,,0.7813991233187128,route
24,23.98374473745561,25.00817467354577,1.0244299360901614,,0.0,33.765000000000015,-33.765000000000015,203.11087885633466,-0.02720903957647982,-0.03295979433095004,1.0,,,,,0.8148985900358676,route
25,25.00817467354577,26.00424354382043,0.9960688702746587,,36.514999999999986,15.419999999999987,21.095,190.3901302553752,0.0016698903271222477,0.0211782544656608,1.0,,,,,0.8485062063177095,route
26,26.00424354382043,26.99607918018535,0.9918356363649217,,33.245000000000005,14.649999999999977,18.595000000000027,236.14980750217939,0.01538811654131339,0.018748066028511253,1.0,,,,,0.8815716709711064,route
27,26.99607918018535,27.965320399708954,0.9692412195236031,,56.329999999999984,0.0,56.329999999999984,267.04505245699016,0.046141544575033624,0.0581176273411969,1.0,,,,,0.9141909025510938,route
28,27.965320399708954,28.98469252844533,1.019372128736375,,0.0,56.64999999999998,-56.64999999999998,255.22080258923475,-0.013007195575352687,-0.05557342446690586,1.0,,,,,0.9472681575985795,route
29,28.98469252844533,29.994295955981134,1.0096034275358043,,38.620000000000005,0.0,38.620000000000005,251.45684132944888,0.030276648211686182,0.038252643509998775,0.7377249569557109,,,,,0.9810167704290489,route
30,29.994295955981134,30.06013264107194,0.06583668509080809,,0.3650000000000091,0.0,0.3650000000000091,266.7203124749817,0.0035665268428594758,0.0055440215359653525,0.0,,,,,0.9989049169230735,route
