cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted
1.3677282744120185,229.0,214.95999999999998,-5.379450387255078e-05,18.123000411673136,19.093297963798783,114,,,
1.3950242455330981,237.0,215.08,0.00034881245291149606,12.283187004485784,19.021219170286116,113,,,
1.4232963766485576,243.0,215.16,-0.0004466296498330075,16.963278669275674,19.422713820479437,112,,,
1.4530359912098816,246.0,215.28000000000003,-6.873364052852092e-05,35.68753747358888,19.54895735914987,112,,,
1.503923565704302,255.0,215.51999999999998,0.00010228016839551653,11.652025230463476,20.38825061388608,114,,,
1.5284091829321962,262.0,215.64000000000001,-0.0004351130848476173,12.592603145774143,20.066761310659537,114,,,
1.5932465901333723,267.0,215.35999999999999,-0.001666329564525879,29.155117487324983,20.19408333093093,116,,,
1.6254524254210798,275.0,215.16,-0.0017026339146924674,14.492625879468417,20.723076796437134,117,,,
1.6657857172306219,281.0,214.88000000000002,-0.002040969259935887,24.19997508572528,22.483008795660545,116,,,
1.7101184002894754,287.0,214.64000000000001,-0.0025161366718195193,26.599609835312094,20.296123053999064,114,,,
1.7483499515873369,294.0,214.44,-0.002560150226331083,19.661940667471598,21.46497495247875,113,,,
1.782994231787872,301.0,214.6,-0.00229951379291895,17.817058388846643,21.583491741514976,116,,,
1.8486026611743742,307.0,214.6,-0.0005298506448567127,34.620841481645485,20.68292144845207,117,,,
1.8753969818240022,314.0,214.6,0.00034081101981075216,13.779936334094373,20.904295919694125,120,,,
1.9329543642536624,320.0,214.8,0.0017155789042739879,23.13117551683847,19.875706763269566,121,,,
1.9931088985875276,330.0,215.11999999999998,0.0031175648049592128,13.518159266783453,20.886852167243116,119,,,
2.025459335775539,336.0,215.32,0.0044896000492743934,19.41026231280693,21.15258018667631,120,,,
2.0954680433140345,344.0,215.43999999999997,0.004378747205205483,16.18538879275085,20.55919616889762,121,,,
2.1213003853839565,351.0,215.6,0.004980748874004149,13.285204493102649,19.75032334828472,118,,,
2.150647470303488,354.0,215.8,0.005864625705228096,35.21650190343774,21.921630329863603,117,,,
2.2032573501192934,360.0,216.11999999999998,0.006485995080060746,21.28884296626906,21.633418456086467,118,,,
2.225163644612043,367.0,216.2,0.006399317734044743,11.266094310557008,21.41838660065745,119,,,
2.246480690574702,370.0,216.32,0.006065115449517577,25.5804551551904,22.511496254905587,119,,,
2.2656814289185823,372.0,216.48000000000002,0.005052388922484819,34.5613290189847,22.23492639851268,119,,,
2.276827374460409,374.0,216.63999999999996,0.003668980583998839,20.06270197528784,23.869067135853953,118,,,
2.286361357841003,377.0,216.71999999999997,0.0025188074865683434,11.44078005671283,23.18406102671308,118,,,
2.2948030389120913,378.0,216.76,0.002586319553792133,30.390051855917978,21.616761142791592,118,,,
2.3023210823270652,380.0,216.68,0.003719944737562256,13.532478146952986,23.000178011616924,115,,,
2.310401210733415,381.0,216.6,0.0056418609413971255,29.08846226285845,24.127304250226935,116,,,
