cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted,cluster
1.3284953984577925,232.0,216.11999999999998,0.002673186403285683,12.342571897521998,21.441114603055116,124,125.2,23.562639819940763,125.2,0.0
1.3579338460529422,235.0,216.11999999999998,0.0018608723508318065,25.693741667202517,20.19643435524183,124,124.9,25.10025743490221,124.9,0.0
1.3715787473653862,240.0,215.95999999999998,0.001836483213000173,9.824328944959602,19.35395585445681,124,124.6,23.921757641185728,124.6,0.0
1.4059055880752152,243.0,215.68,0.002593879281688758,36.63779445460368,19.583105576983545,123,124.3,22.269256429870296,124.3,0.0
1.463156100093046,250.0,215.32,0.0032554304204191766,19.67535491669625,21.59344640637186,123,124.2,21.26919787799407,124.2,0.0
1.4962213846769155,256.0,215.35999999999999,0.00342205278939862,19.839170750321752,22.645733055906938,124,124.1,19.957951357059155,124.1,0.0
1.5368523099357412,262.0,215.6,0.003928847661666899,24.37855515529545,23.764227571638106,125,123.8,21.310591717287696,123.8,0.0
1.596936315871042,270.0,216.24,0.005609409665689377,15.440303465293105,23.831633056170848,125,123.4,20.08026152310813,123.4,0.0
1.6139939004123092,272.0,216.6,0.008296168478600374,30.70365217428109,24.479355966351278,126,123.1,20.022172459523198,123.1,0.0
1.6363402690492275,274.0,217.04000000000002,0.010740093568734671,26.178371458510277,23.67312268653784,127,122.9,20.51675464225628,122.9,0.0
1.642479756490773,275.0,217.2,0.013011029912569246,22.102154789563368,24.882484792982286,127,122.8,20.097967306350903,122.8,0.0
1.6493304105122868,276.0,217.4,0.014238785442786811,24.662354477449544,24.301711065429227,127,122.7,18.885317800277672,122.7,0.0
1.6577723371198114,278.0,217.64000000000001,0.014161032726864378,15.195467893544437,25.95731460341302,125,122.6,18.228994010671347,122.6,0.0
1.672836631390036,280.0,217.92,0.013064498373907602,27.115729686404286,26.10941421085504,123,122.4,19.49201177942995,122.4,0.0
1.6895976129200478,282.0,218.2,0.011608834461987011,30.169766754021364,24.455092866147112,122,122.1,19.573190544510748,122.1,0.0
1.7122271082569829,288.0,218.44,0.01092939142276316,13.57769720216099,25.402734824575383,123,122.0,18.80386892287659,122.0,0.0
1.7340406308755496,290.0,218.6,0.010076508644301076,39.26434071342016,25.672032119120207,124,122.1,17.6568528712318,122.1,0.0
1.761744633146573,296.0,218.71999999999997,0.008858697013758802,16.62240136261397,25.6609266094082,126,122.1,18.64975850184613,122.1,0.0
1.8097545724202322,303.0,218.8,0.00773618082927612,14.930108536304676,27.533390053665222,125,122.1,18.199899971785182,122.1,0.0
1.8297625053326785,305.0,218.8,0.006074022092182911,36.01427924240352,25.63017981705334,125,122.2,20.570118448177997,122.2,0.0
1.8512597371562396,308.0,218.84,0.004276875743567206,25.79667818827334,24.745241116143994,126,122.2,20.48383639151261,122.2,0.0
1.8658012876146488,310.0,218.88000000000002,0.0023991059384505724,26.174790825136597,25.810154431609714,125,122.3,20.76461398557896,122.3,0.0
1.8851252982894164,312.0,219.0,0.0018028628491361103,34.78321921458167,22.755020372524726,125,122.4,20.492745800544853,122.4,0.0
1.917763638767876,319.0,219.11999999999998,0.0017360558224185211,9.967176110692156,23.997316477852678,126,122.4,22.075939498911318,122.4,0.0
1.9528348092439556,323.0,219.11999999999998,0.002081164687964999,23.00855544554341,25.49192478521985,127,122.5,22.033936236913604,122.5,0.0
1.9665559915812034,325.0,219.03999999999996,0.0026235095861777274,24.698128207045954,22.949506976838872,126,122.4,22.185483737925004,122.4,0.0
1.9814837234029232,330.0,219.08,0.0027121607736887883,10.747966911638274,22.51765987876333,124,122.3,22.598776238499905,122.3,0.0
1.9978756653572498,332.0,219.16,0.002204231877218515,29.505495517788003,22.279370585912126,123,122.3,21.90439012681013,122.3,0.0
2.0147124901827604,334.0,219.24,0.0012569286035447307,30.306284685919163,19.689164733879863,122,122.4,21.154028031456605,122.4,0.0
